xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,faultNumber,is_anomaly
0.0076629,3775.8,4959.8,10.298,26.935,43.061,3000.0,74.869,120.39,0.27657,73.614,49.295,2942.7,24.238,48.977,3341.9,22.088,68.184,394.76,377.86,92.636,74.853,35.782,7.9433,29.863,6.6493,13.486,1.4835,38.324,12.594,28.854,0.79249,11.338,2.0425,3.7161,1.8262,0.017796,0.49235,0.086565,51.981,44.874,65.736,64.134,0.0,68.85,50.991,12.104,36.026,44.166,46.166,46.08,22.8,18.0,1
0.21216,3644.4,4551.6,9.4395,27.118,42.49,2711.2,75.241,120.4,0.31328,80.259,50.87,2639.7,25.788,49.153,3107.3,23.445,66.022,237.04,342.1,94.506,77.801,32.15,8.9143,26.664,6.8463,19.125,1.6159,32.786,13.766,23.853,1.2105,18.325,2.2644,4.8039,2.3282,0.026901,0.83944,0.081442,52.805,43.706,62.877,53.891,20.409,58.991,22.549,37.81,40.659,44.574,49.333,41.239,16.846,0.0,0
0.24159,3697.4,4598.7,9.4265,26.702,42.482,2711.8,74.934,120.39,0.33148,80.145,50.454,2640.6,23.936,51.376,3108.6,22.698,65.236,216.72,342.09,94.465,77.428,32.728,9.0378,26.294,6.9418,18.443,1.6777,32.779,13.728,24.216,1.2588,18.634,2.1914,4.846,2.2849,0.014177,0.8099,0.10638,53.413,43.914,62.597,54.553,23.499,60.609,22.244,39.704,39.437,49.718,43.877,41.11,18.631,0.0,0
0.20543,3735.1,4511.0,9.3186,26.99,42.255,2712.9,74.946,120.43,0.33977,79.712,48.813,2641.5,27.801,51.022,3110.8,22.105,65.491,229.59,342.39,94.535,77.209,32.549,9.0215,26.286,6.8601,18.877,1.6411,33.385,13.788,24.457,1.1226,18.165,2.2401,4.7797,2.315,0.018912,0.85409,0.1073,53.524,44.173,63.966,54.173,20.363,60.096,22.535,40.328,34.607,48.899,46.466,41.655,20.17,0.0,0
0.23996,3628.9,4580.5,9.3037,26.66,42.485,2710.6,75.103,120.39,0.32691,80.123,49.547,2638.8,25.953,49.359,3107.2,22.92,65.527,224.8,340.26,94.576,77.353,31.913,8.8427,26.572,6.9603,18.178,1.5945,32.579,13.815,24.241,1.4365,18.575,2.2363,4.8015,2.2036,0.028073,0.8061,0.09939,53.035,43.642,62.646,53.936,23.474,60.703,21.97,38.535,36.767,45.05,45.658,40.579,21.014,5.0,1
0.85806,3606.3,4376.5,8.4536,27.055,42.279,2667.3,74.971,120.43,0.32721,80.649,49.388,2592.5,26.38,50.267,3076.0,23.442,68.056,265.06,327.91,95.383,77.154,30.868,9.1712,25.979,7.0388,20.033,1.6872,31.516,14.078,23.331,1.263,19.697,2.3041,4.9969,2.3186,0.0089051,0.88053,0.089236,54.316,42.824,62.492,53.035,84.48,55.625,18.928,40.137,36.299,47.151,58.769,40.373,17.222,1.0,1
0.26289,3680.9,4555.8,9.359,26.871,42.236,2715.3,75.69,120.37,0.32047,79.424,48.719,2640.8,25.878,49.866,3109.6,22.614,65.283,225.58,342.99,94.391,77.229,32.435,8.9158,26.375,6.843,18.367,1.6386,33.071,13.873,24.44,1.0274,17.795,2.2195,4.8167,2.3536,0.018888,0.84694,0.088124,53.099,44.605,63.58,54.329,25.96,60.114,22.523,37.961,34.329,46.223,46.006,41.084,19.06,20.0,1
0.31283,3632.7,4421.3,9.2789,26.98,42.416,2701.6,75.466,120.42,0.33071,80.166,47.578,2629.5,24.456,49.82,3099.8,23.262,66.445,253.73,340.73,94.612,77.031,32.122,8.8779,26.162,6.8094,18.891,1.6541,32.696,13.873,23.51,1.3363,18.739,2.2782,4.8623,2.2401,0.028324,0.86377,0.095923,53.599,44.529,63.106,53.546,31.047,62.111,22.003,39.106,30.972,46.117,53.08,41.604,17.461,0.0,0
0.2518,3700.3,4502.0,9.0601,26.734,42.211,2697.1,75.372,120.4,0.34146,80.305,49.757,2625.7,26.148,51.396,3093.7,22.552,66.932,219.48,340.03,94.628,77.419,31.986,8.9244,26.505,7.0104,19.008,1.6567,33.058,13.866,23.476,1.3448,18.492,2.2686,4.8687,2.3096,0.021487,0.82051,0.086318,54.131,43.659,62.889,54.238,24.452,60.969,22.116,40.767,37.384,49.764,46.436,40.375,19.032,10.0,1
0.22886,3669.5,4418.6,9.4159,26.669,42.64,2707.6,75.998,120.36,0.35563,79.829,49.61,2636.0,26.063,51.032,3106.6,22.689,65.646,228.32,340.62,94.812,76.951,31.704,8.9209,26.466,6.8755,18.377,1.6449,32.887,13.744,24.224,1.091,18.624,2.2893,4.8162,2.2642,0.015592,0.84021,0.094306,54.093,43.961,62.757,53.85,22.117,60.759,21.811,43.313,36.953,48.923,47.135,40.254,18.768,0.0,0
